날짜,스트레스,우울
2016-01-01,63.2299,25.57422
2016-02-01,55.96854,23.91079
2016-03-01,74.46886,28.64684
2016-04-01,74.95367,30.59039
2016-05-01,80.1853,36.32837
2016-06-01,73.6393,30.01508
2016-07-01,59.70049,25.77461
2016-08-01,58.92911,24.23831
2016-09-01,68.18789,26.39732
2016-10-01,74.22538,28.93557
2016-11-01,70.21762,26.98125
2016-12-01,58.06291,26.66451
2017-01-01,54.81792,22.39172
2017-02-01,52.77526,22.76449
2017-03-01,67.45528,26.36069
2017-04-01,67.25274,25.73798
2017-05-01,72.11376,25.45141
2017-06-01,76.755,25.2661
2017-07-01,65.80047,23.75996
2017-08-01,67.83451,22.89161
2017-09-01,70.26718,23.37642
2017-10-01,70.84895,22.77526
2017-11-01,66.23141,22.93686
2017-12-01,61.79702,33.25145
2018-01-01,68.75673,32.86145
2018-02-01,65.22085,24.55505
2018-03-01,80.76492,31.41995
2018-04-01,82.23874,31.75824
2018-05-01,83.27731,32.02327
2018-06-01,78.25684,29.23507
2018-07-01,67.40142,26.33915
2018-08-01,55.77461,26.95108
2018-09-01,59.37082,27.49838
2018-10-01,72.37233,29.47856
2018-11-01,67.61904,27.10838
2018-12-01,55.195,24.6003
2019-01-01,53.273,23.55742
2019-02-01,45.2424,20.09265
2019-03-01,63.35057,24.86102
2019-04-01,72.55332,24.71019
2019-05-01,100.0,25.15621
2019-06-01,81.11182,24.58306
2019-07-01,53.94742,23.79228
2019-08-01,58.67054,21.58801
2019-09-01,65.10665,22.13531
2019-10-01,67.10622,28.3538
2019-11-01,62.77741,25.62594
2019-12-01,51.11182,24.13703
2020-01-01,45.37599,21.09674
2020-02-01,48.95065,21.48028
2020-03-01,67.19026,26.2745
2020-04-01,73.02736,27.70308
2020-05-01,78.30209,27.55871
2020-06-01,77.20534,26.14307
2020-07-01,63.90648,25.9082
2020-08-01,53.07261,24.20599
2020-09-01,58.24606,27.85822
2020-10-01,60.96315,25.5182
2020-11-01,62.62658,26.74208
2020-12-01,55.07433,24.55289
2021-01-01,46.05688,22.41111
2021-02-01,43.74919,19.29971
2021-03-01,60.97608,23.93665
2021-04-01,63.39366,23.25145
2021-05-01,69.10148,25.22947
2021-06-01,63.83968,22.06636
2021-07-01,49.35789,20.23055
2021-08-01,48.24391,20.75845
2021-09-01,52.47791,21.8315
2021-10-01,54.46024,22.99504
2021-11-01,51.42857,22.07929
2021-12-01,51.24542,20.74768
2022-01-01,51.82288,19.26524
2022-02-01,46.70114,18.63391
2022-03-01,58.96358,22.34863
2022-04-01,57.57595,22.74725
2022-05-01,60.84464,23.48631
2022-06-01,54.443,20.73906
2022-07-01,48.08877,31.10321
2022-08-01,46.83473,19.42038
2022-09-01,51.55569,19.039
2022-10-01,58.93126,19.75436
2022-11-01,60.66795,20.209
2022-12-01,52.48006,17.32385
2023-01-01,49.4096,17.15147
2023-02-01,52.44559,16.07843
2023-03-01,65.89743,19.23723
2023-04-01,64.54427,20.86834
2023-05-01,66.63434,21.32514
2023-06-01,60.59685,18.3775
2023-07-01,47.97241,17.76125
2023-08-01,48.79551,17.00064
2023-09-01,49.02822,16.91876
2023-10-01,49.38159,16.6839
2023-11-01,50.62917,17.81512
2023-12-01,41.89614,16.18616
2024-01-01,44.18659,16.06334
2024-02-01,47.326,14.43869
2024-03-01,56.36716,16.14522
2024-04-01,56.84335,15.96638
2024-05-01,62.72786,16.22926
2024-06-01,57.65136,14.77914
2024-07-01,57.26352,14.47317
2024-08-01,51.97586,13.68239
2024-09-01,51.28636,13.95388
2024-10-01,50.86619,14.59383
2024-11-01,46.32837,13.52294
2024-12-01,44.22969,12.15255
2025-01-01,42.39819,11.77978
2025-02-01,42.90023,11.48674
2025-03-01,50.70243,13.13294
2025-04-01,46.71622,11.55569
2025-05-01,48.73087,11.07519
2025-06-01,45.39107,10.49342
