Rank,Title,Location,ReservationRate
1,브로드웨이 42번가,샤롯데씨어터,10
2,위키드,블루스퀘어 신한카드홀,9.3
3,팬텀,세종문화회관 대극장,9.1
4,맘마미아!,LG아트센터 서울 LG SIGNATURE 홀,7
5,알라딘,부산 드림씨어터,5.2
6,멤피스,충무아트센터 대극장,5
7,마하고니,링크아트센터 페이코홀,4.8
8,등등곡,예스24스테이지 1관,4.2
9,쇼맨_어느 독재자의 네 번째 대역배우,국립정동극장,2.6
10,"스웨그에이지 외쳐,조선!",홍익대 대학로 아트센터 대극장,2.1
11,빨래,NOL 유니플렉스 2관,2
12,차미,대학로 TOM(티오엠) 1관,2
13,스트라빈스키,대학로 TOM(티오엠) 2관,2
14,노트르담 드 파리,세종문화회관 대극장,2
15,프리다,NOL 유니플렉스 1관(구 인터파크 유니플렉스),1.9
16,슬립노모어 서울,매키탄 호텔 (The McKithan Hotel),1.7
17,마리 퀴리,광림아트센터 BBCH홀,1.6
18,위대한개츠비(The Great Gatsby) - 서울 오리지널 프로덕션,GS아트센터,1.5
19,쉐도우,백암아트홀,1.4
20,쿠자,신세계 센텀시티 내 빅탑,1.1
21,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",코엑스 신한카드 아티움,1
22,베어 더  (bare the musical),두산아트센터 연강홀,1
23,머피,예그린씨어터,0.9
24,쿠자,잠실종합운동장 내 빅탑,0.8
25,르 마스크,et theatre 1 (이티 씨어터 원),0.8
26,"다시, 동물원",동덕여자대학교 공연예술센터 코튼홀,0.8
27,브로드웨이 42번가,부산 드림씨어터,0.7
28,알라딘,부산 드림씨어터,0.7
29,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 진주,경남문화예술회관 대공연장,0.7
30,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 고양,고양아람누리 아람극장,0.7
31,더 크리처,대학로 자유극장,0.7
32,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 울산,울산문화예술회관 대공연장,0.6
33,썸데이,무하아트센터,0.6
34,위키드,블루스퀘어 신한카드홀,0.6
35,번 더 위치,홍익대 대학로 아트센터 소극장,0.5
36,웨이스티드,플러스씨어터,0.5
37,점프 JUMP,명보아트홀 지하3층 점프 전용극장,0.5
38,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 전주,한국소리문화의전당 모악당,0.5
39,지킬앤하이드 (Jekyll ＆ Hyde) - 20주년 _ 천안,천안예술의전당 대공연장,0.5
40,리틀잭,예스24아트원 2관,0.5
41,개와 고양이의 시간,대학로 더굿씨어터,0.5
42,맘마미아!,LG아트센터 서울 LG SIGNATURE 홀,0.4
43,TOUCH FIVE,터치파이브 전용관,0.4
44,써니텐,JTN 아트홀 1관,0.4
45,난타(NANTA) - 명동공연,명동난타극장,0.4
46,관부연락선,링크아트센터드림 드림2관,0.4
47,난타(NANTA) - 홍대공연,홍대난타극장,0.4
48,"어서 오세요, 휴남동 서점입니다",루미나아트홀,0.4
49,민들레피리,예스24스테이지 2관,0.4
50,플레임즈,SH아트홀,0.3
