날짜,스트레스,학업
2016-01-01,71.35158,9.71865
2016-02-01,66.13822,7.97042
2016-03-01,88.98427,14.48712
2016-04-01,89.3289,10.21367
2016-05-01,100.0,15.01347
2016-06-01,91.12726,12.6637
2016-07-01,70.30515,10.31392
2016-08-01,68.76997,16.60505
2016-09-01,79.11523,31.43054
2016-10-01,88.21981,14.93201
2016-11-01,85.94523,14.21141
2016-12-01,66.7147,11.36662
2017-01-01,58.93852,10.86534
2017-02-01,55.54232,8.81007
2017-03-01,77.0161,14.95081
2017-04-01,80.782,11.12851
2017-05-01,83.60172,15.06986
2017-06-01,82.38611,12.13735
2017-07-01,64.04536,11.68619
2017-08-01,64.96647,19.81327
2017-09-01,72.64239,33.36048
2017-10-01,73.71389,15.59621
2017-11-01,73.76402,14.82549
2017-12-01,64.57798,11.9055
2018-01-01,63.02399,10.65229
2018-02-01,54.23898,8.09574
2018-03-01,72.34789,15.97844
2018-04-01,77.27927,11.61726
2018-05-01,82.31092,15.17638
2018-06-01,72.8993,12.03082
2018-07-01,58.10514,12.11855
2018-08-01,58.71921,21.38605
2018-09-01,65.31737,36.14888
2018-10-01,73.41938,18.8295
2018-11-01,80.07393,15.52728
2018-12-01,62.42872,12.14361
2019-01-01,55.82429,10.75881
2019-02-01,45.34745,8.1396
2019-03-01,66.44526,16.19775
2019-04-01,73.52591,12.80782
2019-05-01,81.20182,15.20145
2019-06-01,71.76514,12.04962
2019-07-01,55.8055,11.86164
2019-08-01,53.41186,21.25446
2019-09-01,60.20427,26.17331
2019-10-01,69.36524,15.98471
2019-11-01,64.93514,13.81665
2019-12-01,53.97581,11.81151
2020-01-01,43.7684,9.28003
2020-02-01,47.82254,8.42158
2020-03-01,66.05677,15.68394
2020-04-01,74.40315,17.89585
2020-05-01,82.49263,16.96848
2020-06-01,83.99022,16.0411
2020-07-01,66.83376,12.90181
2020-08-01,57.67905,16.49226
2020-09-01,64.75969,35.11498
2020-10-01,67.30998,19.33705
2020-11-01,68.70731,16.97474
2020-12-01,61.69559,17.74547
2021-01-01,50.64227,14.45579
2021-02-01,45.42891,9.83144
2021-03-01,65.6996,21.07901
2021-04-01,66.73977,15.89071
2021-05-01,70.66232,16.22908
2021-06-01,67.42903,13.85425
2021-07-01,52.52208,11.611
2021-08-01,51.53831,12.77648
2021-09-01,57.25922,17.87705
2021-10-01,60.10401,17.82066
2021-11-01,56.70781,16.66144
2021-12-01,49.06949,16.0599
2022-01-01,42.38987,11.8867
2022-02-01,40.00877,11.03452
2022-03-01,55.87442,19.57516
2022-04-01,58.05501,14.78162
2022-05-01,65.06046,15.12626
2022-06-01,58.74428,12.22507
2022-07-01,48.71232,11.07212
2022-08-01,44.48273,11.69872
2022-09-01,50.54201,17.82066
2022-10-01,55.37314,16.88075
2022-11-01,53.4244,16.26041
2022-12-01,44.38874,15.23905
2023-01-01,37.68406,12.07469
2023-02-01,37.80312,11.2225
2023-03-01,54.99091,19.91979
2023-04-01,54.734,13.46575
2023-05-01,59.85964,14.12995
2023-06-01,55.56112,11.2601
2023-07-01,44.99655,10.53324
2023-08-01,43.66814,10.05075
2023-09-01,46.12444,13.01459
2023-10-01,47.22726,15.50849
2023-11-01,48.28623,15.23278
2023-12-01,38.99993,13.47202
2024-01-01,34.31292,11.47314
2024-02-01,31.93182,9.56826
2024-03-01,45.62315,17.29431
2024-04-01,47.10821,10.80268
2024-05-01,51.82028,11.89924
2024-06-01,43.39244,8.81634
2024-07-01,40.10902,8.94792
2024-08-01,37.01986,8.30879
2024-09-01,38.342,10.89667
2024-10-01,40.25314,11.54207
2024-11-01,36.26167,9.98182
2024-12-01,30.77887,8.879
2025-01-01,25.68456,7.06184
2025-02-01,26.39263,6.53549
2025-03-01,34.56983,11.18491
2025-04-01,32.4895,6.20339
2025-05-01,31.83783,6.01541
2025-06-01,28.34137,5.16323
